date_key,date,year,quarter,month_number,month_name,week_number,day,day_name,weekend_flag
20241023,2024-10-23,2024,4,10,October,43,23,Wednesday,0
20241024,2024-10-24,2024,4,10,October,43,24,Thursday,0
20241025,2024-10-25,2024,4,10,October,43,25,Friday,0
20241026,2024-10-26,2024,4,10,October,43,26,Saturday,1
20241027,2024-10-27,2024,4,10,October,43,27,Sunday,1
20241028,2024-10-28,2024,4,10,October,44,28,Monday,0
20241029,2024-10-29,2024,4,10,October,44,29,Tuesday,0
20241030,2024-10-30,2024,4,10,October,44,30,Wednesday,0
20241031,2024-10-31,2024,4,10,October,44,31,Thursday,0
20241101,2024-11-01,2024,4,11,November,44,1,Friday,0
20241102,2024-11-02,2024,4,11,November,44,2,Saturday,1
20241103,2024-11-03,2024,4,11,November,44,3,Sunday,1
20241104,2024-11-04,2024,4,11,November,45,4,Monday,0
20241105,2024-11-05,2024,4,11,November,45,5,Tuesday,0
20241106,2024-11-06,2024,4,11,November,45,6,Wednesday,0
20241107,2024-11-07,2024,4,11,November,45,7,Thursday,0
20241108,2024-11-08,2024,4,11,November,45,8,Friday,0
20241109,2024-11-09,2024,4,11,November,45,9,Saturday,1
20241110,2024-11-10,2024,4,11,November,45,10,Sunday,1
20241111,2024-11-11,2024,4,11,November,46,11,Monday,0
20241112,2024-11-12,2024,4,11,November,46,12,Tuesday,0
20241113,2024-11-13,2024,4,11,November,46,13,Wednesday,0
20241114,2024-11-14,2024,4,11,November,46,14,Thursday,0
20241115,2024-11-15,2024,4,11,November,46,15,Friday,0
20241116,2024-11-16,2024,4,11,November,46,16,Saturday,1
20241117,2024-11-17,2024,4,11,November,46,17,Sunday,1
20241118,2024-11-18,2024,4,11,November,47,18,Monday,0
20241119,2024-11-19,2024,4,11,November,47,19,Tuesday,0
20241120,2024-11-20,2024,4,11,November,47,20,Wednesday,0
20241121,2024-11-21,2024,4,11,November,47,21,Thursday,0
20241122,2024-11-22,2024,4,11,November,47,22,Friday,0
20241123,2024-11-23,2024,4,11,November,47,23,Saturday,1
20241124,2024-11-24,2024,4,11,November,47,24,Sunday,1
20241125,2024-11-25,2024,4,11,November,48,25,Monday,0
20241126,2024-11-26,2024,4,11,November,48,26,Tuesday,0
20241127,2024-11-27,2024,4,11,November,48,27,Wednesday,0
20241128,2024-11-28,2024,4,11,November,48,28,Thursday,0
20241129,2024-11-29,2024,4,11,November,48,29,Friday,0
20241130,2024-11-30,2024,4,11,November,48,30,Saturday,1
20241201,2024-12-01,2024,4,12,December,48,1,Sunday,1
20241202,2024-12-02,2024,4,12,December,49,2,Monday,0
20241203,2024-12-03,2024,4,12,December,49,3,Tuesday,0
20241204,2024-12-04,2024,4,12,December,49,4,Wednesday,0
20241205,2024-12-05,2024,4,12,December,49,5,Thursday,0
20241206,2024-12-06,2024,4,12,December,49,6,Friday,0
20241207,2024-12-07,2024,4,12,December,49,7,Saturday,1
20241208,2024-12-08,2024,4,12,December,49,8,Sunday,1
20241209,2024-12-09,2024,4,12,December,50,9,Monday,0
20241210,2024-12-10,2024,4,12,December,50,10,Tuesday,0
20241211,2024-12-11,2024,4,12,December,50,11,Wednesday,0
20241212,2024-12-12,2024,4,12,December,50,12,Thursday,0
20241213,2024-12-13,2024,4,12,December,50,13,Friday,0
20241214,2024-12-14,2024,4,12,December,50,14,Saturday,1
20241215,2024-12-15,2024,4,12,December,50,15,Sunday,1
20241216,2024-12-16,2024,4,12,December,51,16,Monday,0
20241217,2024-12-17,2024,4,12,December,51,17,Tuesday,0
20241218,2024-12-18,2024,4,12,December,51,18,Wednesday,0
20241219,2024-12-19,2024,4,12,December,51,19,Thursday,0
20241220,2024-12-20,2024,4,12,December,51,20,Friday,0
20241221,2024-12-21,2024,4,12,December,51,21,Saturday,1
20241222,2024-12-22,2024,4,12,December,51,22,Sunday,1
20241223,2024-12-23,2024,4,12,December,52,23,Monday,0
20241224,2024-12-24,2024,4,12,December,52,24,Tuesday,0
20241225,2024-12-25,2024,4,12,December,52,25,Wednesday,0
20241226,2024-12-26,2024,4,12,December,52,26,Thursday,0
20241227,2024-12-27,2024,4,12,December,52,27,Friday,0
20241228,2024-12-28,2024,4,12,December,52,28,Saturday,1
20241229,2024-12-29,2024,4,12,December,52,29,Sunday,1
20241230,2024-12-30,2024,4,12,December,1,30,Monday,0
20241231,2024-12-31,2024,4,12,December,1,31,Tuesday,0
20250101,2025-01-01,2025,1,1,January,1,1,Wednesday,0
20250102,2025-01-02,2025,1,1,January,1,2,Thursday,0
20250103,2025-01-03,2025,1,1,January,1,3,Friday,0
20250104,2025-01-04,2025,1,1,January,1,4,Saturday,1
20250105,2025-01-05,2025,1,1,January,1,5,Sunday,1
20250106,2025-01-06,2025,1,1,January,2,6,Monday,0
20250107,2025-01-07,2025,1,1,January,2,7,Tuesday,0
20250108,2025-01-08,2025,1,1,January,2,8,Wednesday,0
20250109,2025-01-09,2025,1,1,January,2,9,Thursday,0
20250110,2025-01-10,2025,1,1,January,2,10,Friday,0
20250111,2025-01-11,2025,1,1,January,2,11,Saturday,1
20250112,2025-01-12,2025,1,1,January,2,12,Sunday,1
20250113,2025-01-13,2025,1,1,January,3,13,Monday,0
20250114,2025-01-14,2025,1,1,January,3,14,Tuesday,0
20250115,2025-01-15,2025,1,1,January,3,15,Wednesday,0
20250116,2025-01-16,2025,1,1,January,3,16,Thursday,0
20250117,2025-01-17,2025,1,1,January,3,17,Friday,0
20250118,2025-01-18,2025,1,1,January,3,18,Saturday,1
20250119,2025-01-19,2025,1,1,January,3,19,Sunday,1
20250120,2025-01-20,2025,1,1,January,4,20,Monday,0
20250121,2025-01-21,2025,1,1,January,4,21,Tuesday,0
20250122,2025-01-22,2025,1,1,January,4,22,Wednesday,0
20250123,2025-01-23,2025,1,1,January,4,23,Thursday,0
20250124,2025-01-24,2025,1,1,January,4,24,Friday,0
20250125,2025-01-25,2025,1,1,January,4,25,Saturday,1
20250126,2025-01-26,2025,1,1,January,4,26,Sunday,1
20250127,2025-01-27,2025,1,1,January,5,27,Monday,0
20250128,2025-01-28,2025,1,1,January,5,28,Tuesday,0
20250129,2025-01-29,2025,1,1,January,5,29,Wednesday,0
20250130,2025-01-30,2025,1,1,January,5,30,Thursday,0
20250131,2025-01-31,2025,1,1,January,5,31,Friday,0
20250201,2025-02-01,2025,1,2,February,5,1,Saturday,1
20250202,2025-02-02,2025,1,2,February,5,2,Sunday,1
20250203,2025-02-03,2025,1,2,February,6,3,Monday,0
20250204,2025-02-04,2025,1,2,February,6,4,Tuesday,0
20250205,2025-02-05,2025,1,2,February,6,5,Wednesday,0
20250206,2025-02-06,2025,1,2,February,6,6,Thursday,0
20250207,2025-02-07,2025,1,2,February,6,7,Friday,0
20250208,2025-02-08,2025,1,2,February,6,8,Saturday,1
20250209,2025-02-09,2025,1,2,February,6,9,Sunday,1
20250210,2025-02-10,2025,1,2,February,7,10,Monday,0
20250211,2025-02-11,2025,1,2,February,7,11,Tuesday,0
20250212,2025-02-12,2025,1,2,February,7,12,Wednesday,0
20250213,2025-02-13,2025,1,2,February,7,13,Thursday,0
20250214,2025-02-14,2025,1,2,February,7,14,Friday,0
20250215,2025-02-15,2025,1,2,February,7,15,Saturday,1
20250216,2025-02-16,2025,1,2,February,7,16,Sunday,1
20250217,2025-02-17,2025,1,2,February,8,17,Monday,0
20250218,2025-02-18,2025,1,2,February,8,18,Tuesday,0
20250219,2025-02-19,2025,1,2,February,8,19,Wednesday,0
20250220,2025-02-20,2025,1,2,February,8,20,Thursday,0
20250221,2025-02-21,2025,1,2,February,8,21,Friday,0
20250222,2025-02-22,2025,1,2,February,8,22,Saturday,1
20250223,2025-02-23,2025,1,2,February,8,23,Sunday,1
20250224,2025-02-24,2025,1,2,February,9,24,Monday,0
20250225,2025-02-25,2025,1,2,February,9,25,Tuesday,0
20250226,2025-02-26,2025,1,2,February,9,26,Wednesday,0
20250227,2025-02-27,2025,1,2,February,9,27,Thursday,0
20250228,2025-02-28,2025,1,2,February,9,28,Friday,0
20250301,2025-03-01,2025,1,3,March,9,1,Saturday,1
20250302,2025-03-02,2025,1,3,March,9,2,Sunday,1
20250303,2025-03-03,2025,1,3,March,10,3,Monday,0
20250304,2025-03-04,2025,1,3,March,10,4,Tuesday,0
20250305,2025-03-05,2025,1,3,March,10,5,Wednesday,0
20250306,2025-03-06,2025,1,3,March,10,6,Thursday,0
20250307,2025-03-07,2025,1,3,March,10,7,Friday,0
20250308,2025-03-08,2025,1,3,March,10,8,Saturday,1
20250309,2025-03-09,2025,1,3,March,10,9,Sunday,1
20250310,2025-03-10,2025,1,3,March,11,10,Monday,0
20250311,2025-03-11,2025,1,3,March,11,11,Tuesday,0
20250312,2025-03-12,2025,1,3,March,11,12,Wednesday,0
20250313,2025-03-13,2025,1,3,March,11,13,Thursday,0
20250314,2025-03-14,2025,1,3,March,11,14,Friday,0
20250315,2025-03-15,2025,1,3,March,11,15,Saturday,1
20250316,2025-03-16,2025,1,3,March,11,16,Sunday,1
20250317,2025-03-17,2025,1,3,March,12,17,Monday,0
20250318,2025-03-18,2025,1,3,March,12,18,Tuesday,0
20250319,2025-03-19,2025,1,3,March,12,19,Wednesday,0
20250320,2025-03-20,2025,1,3,March,12,20,Thursday,0
20250321,2025-03-21,2025,1,3,March,12,21,Friday,0
20250322,2025-03-22,2025,1,3,March,12,22,Saturday,1
20250323,2025-03-23,2025,1,3,March,12,23,Sunday,1
20250324,2025-03-24,2025,1,3,March,13,24,Monday,0
20250325,2025-03-25,2025,1,3,March,13,25,Tuesday,0
20250326,2025-03-26,2025,1,3,March,13,26,Wednesday,0
20250327,2025-03-27,2025,1,3,March,13,27,Thursday,0
20250328,2025-03-28,2025,1,3,March,13,28,Friday,0
20250329,2025-03-29,2025,1,3,March,13,29,Saturday,1
20250330,2025-03-30,2025,1,3,March,13,30,Sunday,1
20250331,2025-03-31,2025,1,3,March,14,31,Monday,0
20250401,2025-04-01,2025,2,4,April,14,1,Tuesday,0
20250402,2025-04-02,2025,2,4,April,14,2,Wednesday,0
20250403,2025-04-03,2025,2,4,April,14,3,Thursday,0
20250404,2025-04-04,2025,2,4,April,14,4,Friday,0
20250405,2025-04-05,2025,2,4,April,14,5,Saturday,1
20250406,2025-04-06,2025,2,4,April,14,6,Sunday,1
20250407,2025-04-07,2025,2,4,April,15,7,Monday,0
20250408,2025-04-08,2025,2,4,April,15,8,Tuesday,0
20250409,2025-04-09,2025,2,4,April,15,9,Wednesday,0
20250410,2025-04-10,2025,2,4,April,15,10,Thursday,0
20250411,2025-04-11,2025,2,4,April,15,11,Friday,0
20250412,2025-04-12,2025,2,4,April,15,12,Saturday,1
20250413,2025-04-13,2025,2,4,April,15,13,Sunday,1
20250414,2025-04-14,2025,2,4,April,16,14,Monday,0
20250415,2025-04-15,2025,2,4,April,16,15,Tuesday,0
20250416,2025-04-16,2025,2,4,April,16,16,Wednesday,0
20250417,2025-04-17,2025,2,4,April,16,17,Thursday,0
20250418,2025-04-18,2025,2,4,April,16,18,Friday,0
20250419,2025-04-19,2025,2,4,April,16,19,Saturday,1
20250420,2025-04-20,2025,2,4,April,16,20,Sunday,1
20250421,2025-04-21,2025,2,4,April,17,21,Monday,0
20250422,2025-04-22,2025,2,4,April,17,22,Tuesday,0
20250423,2025-04-23,2025,2,4,April,17,23,Wednesday,0
20250424,2025-04-24,2025,2,4,April,17,24,Thursday,0
20250425,2025-04-25,2025,2,4,April,17,25,Friday,0
20250426,2025-04-26,2025,2,4,April,17,26,Saturday,1
20250427,2025-04-27,2025,2,4,April,17,27,Sunday,1
20250428,2025-04-28,2025,2,4,April,18,28,Monday,0
20250429,2025-04-29,2025,2,4,April,18,29,Tuesday,0
20250430,2025-04-30,2025,2,4,April,18,30,Wednesday,0
20250501,2025-05-01,2025,2,5,May,18,1,Thursday,0
20250502,2025-05-02,2025,2,5,May,18,2,Friday,0
20250503,2025-05-03,2025,2,5,May,18,3,Saturday,1
20250504,2025-05-04,2025,2,5,May,18,4,Sunday,1
20250505,2025-05-05,2025,2,5,May,19,5,Monday,0
20250506,2025-05-06,2025,2,5,May,19,6,Tuesday,0
20250507,2025-05-07,2025,2,5,May,19,7,Wednesday,0
20250508,2025-05-08,2025,2,5,May,19,8,Thursday,0
20250509,2025-05-09,2025,2,5,May,19,9,Friday,0
20250510,2025-05-10,2025,2,5,May,19,10,Saturday,1
20250511,2025-05-11,2025,2,5,May,19,11,Sunday,1
20250512,2025-05-12,2025,2,5,May,20,12,Monday,0
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,0
20250514,2025-05-14,2025,2,5,May,20,14,Wednesday,0
20250515,2025-05-15,2025,2,5,May,20,15,Thursday,0
20250516,2025-05-16,2025,2,5,May,20,16,Friday,0
20250517,2025-05-17,2025,2,5,May,20,17,Saturday,1
20250518,2025-05-18,2025,2,5,May,20,18,Sunday,1
20250519,2025-05-19,2025,2,5,May,21,19,Monday,0
20250520,2025-05-20,2025,2,5,May,21,20,Tuesday,0
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,0
20250522,2025-05-22,2025,2,5,May,21,22,Thursday,0
20250523,2025-05-23,2025,2,5,May,21,23,Friday,0
20250524,2025-05-24,2025,2,5,May,21,24,Saturday,1
20250525,2025-05-25,2025,2,5,May,21,25,Sunday,1
20250526,2025-05-26,2025,2,5,May,22,26,Monday,0
20250527,2025-05-27,2025,2,5,May,22,27,Tuesday,0
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,0
20250529,2025-05-29,2025,2,5,May,22,29,Thursday,0
20250530,2025-05-30,2025,2,5,May,22,30,Friday,0
20250531,2025-05-31,2025,2,5,May,22,31,Saturday,1
20250601,2025-06-01,2025,2,6,June,22,1,Sunday,1
20250602,2025-06-02,2025,2,6,June,23,2,Monday,0
20250603,2025-06-03,2025,2,6,June,23,3,Tuesday,0
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,0
20250605,2025-06-05,2025,2,6,June,23,5,Thursday,0
20250606,2025-06-06,2025,2,6,June,23,6,Friday,0
20250607,2025-06-07,2025,2,6,June,23,7,Saturday,1
20250608,2025-06-08,2025,2,6,June,23,8,Sunday,1
20250609,2025-06-09,2025,2,6,June,24,9,Monday,0
20250610,2025-06-10,2025,2,6,June,24,10,Tuesday,0
20250611,2025-06-11,2025,2,6,June,24,11,Wednesday,0
20250612,2025-06-12,2025,2,6,June,24,12,Thursday,0
20250613,2025-06-13,2025,2,6,June,24,13,Friday,0
20250614,2025-06-14,2025,2,6,June,24,14,Saturday,1
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,1
20250616,2025-06-16,2025,2,6,June,25,16,Monday,0
20250617,2025-06-17,2025,2,6,June,25,17,Tuesday,0
20250618,2025-06-18,2025,2,6,June,25,18,Wednesday,0
20250619,2025-06-19,2025,2,6,June,25,19,Thursday,0
20250620,2025-06-20,2025,2,6,June,25,20,Friday,0
20250621,2025-06-21,2025,2,6,June,25,21,Saturday,1
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,1
20250623,2025-06-23,2025,2,6,June,26,23,Monday,0
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,0
